[2026-09-19 16:57:28] Etapa 2 iniciada
[2026-09-19 16:57:28] Configuração: 16 workers para varredura e logs
[2026-09-19 16:57:28] Fase 1/4 iniciada — varredura paralela do disco
[2026-09-19 16:57:28] Fase 1/4 | diretórios visitados=1 | arquivos encontrados=0 | assessments lidos=0
[2026-09-19 16:57:28] Fase 1/4 | diretórios visitados=100 | arquivos encontrados=0 | assessments lidos=0
[2026-09-19 16:57:29] Fase 1/4 | diretórios visitados=200 | arquivos encontrados=258 | assessments lidos=170
[2026-09-19 16:57:29] Fase 1/4 | diretórios visitados=300 | arquivos encontrados=458 | assessments lidos=170
[2026-09-19 16:57:29] Fase 1/4 | diretórios visitados=400 | arquivos encontrados=656 | assessments lidos=170
[2026-09-19 16:57:29] Fase 1/4 | diretórios visitados=500 | arquivos encontrados=856 | assessments lidos=170
[2026-09-19 16:57:29] Fase 1/4 | diretórios visitados=600 | arquivos encontrados=1,082 | assessments lidos=204
[2026-09-19 16:57:34] Fase 1/4 | diretórios visitados=700 | arquivos encontrados=1,999 | assessments lidos=1,105
[2026-09-19 16:57:35] Fase 1/4 | diretórios visitados=800 | arquivos encontrados=5,798 | assessments lidos=1,341
[2026-09-19 16:57:37] Fase 1/4 | diretórios visitados=900 | arquivos encontrados=11,614 | assessments lidos=1,341
[2026-09-19 16:57:39] Fase 1/4 | diretórios visitados=1,000 | arquivos encontrados=16,436 | assessments lidos=1,341
[2026-09-19 16:57:40] Fase 1/4 | diretórios visitados=1,100 | arquivos encontrados=20,964 | assessments lidos=1,341
[2026-09-19 16:57:43] Fase 1/4 | diretórios visitados=1,200 | arquivos encontrados=23,377 | assessments lidos=1,341
[2026-09-19 16:57:45] Fase 1/4 | diretórios visitados=1,300 | arquivos encontrados=27,701 | assessments lidos=1,341
[2026-09-19 16:57:47] Fase 1/4 | diretórios visitados=1,400 | arquivos encontrados=33,647 | assessments lidos=1,341
[2026-09-19 16:57:49] Fase 1/4 | diretórios visitados=1,500 | arquivos encontrados=36,739 | assessments lidos=1,341
[2026-09-19 16:57:51] Fase 1/4 | diretórios visitados=1,600 | arquivos encontrados=41,398 | assessments lidos=1,341
[2026-09-19 16:57:52] Fase 1/4 | diretórios visitados=1,700 | arquivos encontrados=46,665 | assessments lidos=1,341
[2026-09-19 16:57:54] Fase 1/4 | diretórios visitados=1,800 | arquivos encontrados=51,318 | assessments lidos=1,341
[2026-09-19 16:57:55] Fase 1/4 | diretórios visitados=1,900 | arquivos encontrados=56,335 | assessments lidos=1,341
[2026-09-19 16:57:55] Fase 1/4 | diretórios visitados=2,000 | arquivos encontrados=58,752 | assessments lidos=1,341
[2026-09-19 16:57:57] Fase 1/4 | diretórios visitados=2,100 | arquivos encontrados=63,068 | assessments lidos=1,341
[2026-09-19 16:57:57] Fase 1/4 | diretórios visitados=2,200 | arquivos encontrados=65,853 | assessments lidos=1,341
[2026-09-19 16:57:58] Fase 1/4 | diretórios visitados=2,300 | arquivos encontrados=67,116 | assessments lidos=1,341
[2026-09-19 16:57:59] Fase 1/4 | diretórios visitados=2,400 | arquivos encontrados=68,709 | assessments lidos=1,341
[2026-09-19 16:58:02] Fase 1/4 | diretórios visitados=2,500 | arquivos encontrados=72,142 | assessments lidos=1,341
[2026-09-19 16:58:03] Fase 1/4 | diretórios visitados=2,600 | arquivos encontrados=74,811 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=2,700 | arquivos encontrados=77,440 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=2,800 | arquivos encontrados=77,640 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=2,900 | arquivos encontrados=77,840 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=3,000 | arquivos encontrados=78,040 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=3,100 | arquivos encontrados=78,240 | assessments lidos=1,341
[2026-09-19 16:58:05] Fase 1/4 | diretórios visitados=3,200 | arquivos encontrados=78,440 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,300 | arquivos encontrados=78,640 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,400 | arquivos encontrados=78,840 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,500 | arquivos encontrados=79,040 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,600 | arquivos encontrados=79,240 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,700 | arquivos encontrados=79,440 | assessments lidos=1,341
[2026-09-19 16:58:06] Fase 1/4 | diretórios visitados=3,800 | arquivos encontrados=79,640 | assessments lidos=1,341
[2026-09-19 16:58:07] Fase 1/4 | diretórios visitados=3,900 | arquivos encontrados=79,840 | assessments lidos=1,341
[2026-09-19 16:58:07] Fase 1/4 | diretórios visitados=4,000 | arquivos encontrados=80,040 | assessments lidos=1,341
[2026-09-19 16:58:07] Fase 1/4 | diretórios visitados=4,100 | arquivos encontrados=80,240 | assessments lidos=1,341
