id,dificuldade,discriminacao,respostas,usuarios_respondidos
1002,22.50,0.55,40,"1113,1152,1160,1168,1182,1188,1199,1237,1238,1244,1273,1285,1287,1297,1309,1433,1451,1520,1561,1563,1567,1592,1639,1655,3098,3102,3107,3135,3263,3305,3306,3315,3323,3324,3325,3417,3451,3486,3489,3543"
1018,20.51,0.61,39,"1091,1114,1117,1151,1172,1173,1187,1190,1215,1246,1289,1292,1306,1307,1315,1393,1403,1449,1460,1554,1555,1642,1651,1677,1688,1704,3030,3047,3057,3076,3100,3112,3115,3119,3125,3136,3260,3322,3330"
1019,17.50,0.52,40,"1096,1102,1157,1179,1193,1194,1203,1224,1232,1240,1241,1250,1259,1278,1294,1303,1305,1448,1461,1519,1604,1610,1645,1659,1661,1662,1708,3061,3065,3070,3072,3073,3093,3117,3307,3310,3311,3321,3400,3456"
1020,16.67,0.54,42,"1105,1219,1221,1231,1234,1242,1253,1264,1281,1291,1296,1298,1299,1300,1564,1603,1612,1643,1644,1699,3048,3054,3055,3066,3069,3088,3104,3105,3106,3113,3124,3127,3128,3132,3140,3144,3266,3317,3327,3509,3511,3522"
1021,32.43,0.66,37,"1103,1111,1140,1155,1164,1191,1200,1214,1217,1236,1257,1267,1274,1293,1295,1310,1313,1431,1551,1557,1566,1601,1646,1654,1658,1668,1714,3084,3085,3089,3111,3129,3131,3418,3434,3476,3512"
1022,34.29,0.71,35,"1110,1118,1150,1174,1177,1218,1228,1249,1284,1286,1304,1311,1432,1464,1549,1559,1570,1636,1650,1652,1657,1664,1669,1676,1684,3071,3092,3137,3138,3259,3264,3304,3309,3331,3419"
1023,16.67,0.57,36,"1109,1112,1116,1176,1180,1181,1192,1196,1201,1208,1243,1251,1271,1275,1283,1302,1434,1463,1558,1687,1692,3044,3052,3081,3083,3086,3091,3097,3103,3139,3255,3258,3320,3328,3397,3508"
1024,23.26,0.59,43,"1090,1101,1108,1153,1159,1162,1166,1178,1184,1185,1186,1197,1206,1210,1225,1226,1235,1258,1270,1280,1314,1443,1450,1560,1565,1600,1637,1647,1656,1660,1663,1694,3063,3067,3077,3114,3116,3143,3318,3401,3421,3435,3538"
1025,15.79,0.56,38,"1094,1095,1097,1104,1161,1167,1216,1220,1233,1239,1263,1276,1279,1312,1384,1465,1550,1640,1649,1653,1674,1705,3049,3050,3051,3053,3058,3080,3087,3090,3095,3101,3120,3122,3133,3142,3477,3488"
1026,27.78,0.56,36,"1098,1158,1163,1165,1213,1248,1252,1254,1261,1269,1277,1308,1442,1462,1575,1608,1638,1666,1682,1691,1698,1702,1709,3045,3046,3059,3060,3064,3068,3075,3079,3130,3308,3313,3399,3495"
1027,27.00,0.39,100,"1094,1159,1203,1216,1237,1252,1267,1273,1287,1432,1462,1517,1565,1608,1640,1650,1666,1692,1705,2993,3046,3050,3066,3070,3088,3092,3097,3120,3127,3146,3166,3179,3191,3211,3219,3322,3367,3376,3378,3391,3392,3417,3495,3499,3532,3581,3607,4518,4641,4646,4653,4661,4667,4698,4699,4705,4715,4740,4758,4761,4762,4763,4769,4826,4830,4839,4864,4867,5014,5655,6013,7098,7106,7118,7119,7122,7131,7141,7146,7163,7171,7177,7178,7194,7196,7203,7209,7212,7221,7564,7591,7628,7635,7639,7643,7666,7668,7672,7673,7701"
1028,30.10,0.50,103,"1112,1114,1118,1214,1217,1218,1224,1240,1254,1284,1293,1297,1314,1449,1549,1550,1564,1567,1637,1638,1645,2514,3030,3045,3057,3061,3062,3081,3111,3124,3136,3157,3170,3176,3192,3200,3203,3267,3271,3309,3310,3373,3375,3384,3390,3439,3488,3489,3511,3555,4622,4624,4635,4650,4665,4670,4676,4685,4688,4696,4703,4722,4725,4730,4741,4742,4752,4766,4771,4774,4777,4840,4842,4843,4887,5668,5998,6011,6012,7104,7108,7123,7134,7155,7158,7174,7179,7234,7505,7506,7566,7567,7570,7576,7577,7585,7586,7623,7646,7651,7653,7657,7702"
1029,33.01,0.49,103,"1105,1157,1163,1172,1231,1232,1243,1244,1258,1264,1275,1276,1302,1465,1551,1644,1652,1660,1674,1698,3048,3063,3072,3080,3083,3116,3143,3159,3198,3214,3306,3311,3320,3379,3435,3486,3497,3595,4626,4630,4632,4640,4647,4656,4671,4675,4682,4687,4694,4695,4700,4710,4711,4720,4723,4744,4749,4756,4760,4768,4776,4827,4831,4844,4846,4854,4857,4863,6026,6071,6258,7101,7111,7133,7137,7138,7139,7148,7151,7160,7164,7166,7168,7558,7561,7565,7569,7574,7582,7583,7595,7599,7600,7601,7608,7609,7615,7618,7621,7624,7682,7685,7690"
1030,27.47,0.49,91,"1111,1116,1168,1184,1192,1270,1280,1286,1300,1308,1450,1647,3044,3047,3055,3060,3077,3100,3103,3117,3129,3148,3160,3164,3169,3187,3201,3202,3208,3216,3308,3397,3400,3443,3477,3508,4512,4631,4633,4638,4645,4651,4652,4655,4657,4672,4678,4686,4692,4701,4713,4717,4726,4738,4750,4751,4759,4778,4838,4841,5090,5536,5664,5826,6024,6059,7090,7102,7114,7116,7121,7127,7143,7154,7167,7181,7195,7563,7573,7575,7594,7603,7604,7607,7620,7640,7641,7648,7654,7656,7742"
