question,code_time,num_events,num_deletes,num_blank
1115,24891.97199999995,99490,11343,30
1119,33400.780999999966,78604,8589,44
1163,5773.203999999995,21194,2851,2
1246,9952.898999999994,18813,2071,7
1019,12875.48299999998,25600,3453,17
1031,21732.70299999993,143123,10806,38
1081,22614.043999999925,69906,7695,26
1093,20854.260999999977,64982,8131,48
1025,13590.206999999971,25699,3132,12
1037,8425.002999999993,28765,4168,22
1030,24690.391999999985,151495,11026,59
1120,26683.133999999955,55772,6548,20
1155,11895.630999999994,23881,2656,1
1169,17472.25099999998,15250,1510,3
1194,13945.729,14334,1565,0
1208,10128.900999999993,10458,1150,0
1247,33113.44299999999,30963,3918,3
1262,9505.607,8760,843,3
1285,32982.212999999974,47604,5805,6
1308,2536.5669999999996,6646,884,1
1020,13297.434999999974,33921,4688,13
1034,11125.779999999988,30174,4845,21
1087,24776.953999999954,84180,7693,27
1114,26071.814000000002,90480,11284,33
1127,23555.442999999952,56573,7337,34
1174,15308.955999999998,20521,2364,1
1201,8622.939999999995,14980,1873,0
1209,10745.566999999992,8773,970,0
1253,19978.002999999993,26996,3074,5
1260,9946.137999999994,15609,1405,2
1295,13486.913999999986,31788,3899,12
1023,14646.001999999977,21832,2780,7
1084,24895.13999999996,57820,6637,24
1091,22469.52499999997,42662,5333,41
1126,23304.759999999955,46391,6068,19
1162,6422.199999999998,14018,1842,3
1170,5945.870999999996,11396,1157,2
1195,8736.827999999987,14280,1559,1
1207,9647.122999999994,12694,1681,0
1257,26209.715999999975,23090,2688,11
1270,3608.9809999999948,13486,1222,2
1297,20005.606999999996,28661,3098,4
1299,4575.385,12741,1519,5
1028,16183.382000000003,179184,14177,46
1080,19907.34599999994,60696,6141,22
1097,31559.27699999998,58315,7106,34
1109,11911.74199999998,91054,9991,38
1160,4785.676999999998,17442,2116,3
1173,6143.097999999984,7352,821,0
1193,20582.23999999998,24631,2954,2
1214,8708.163,6519,689,0
1266,8399.05099999999,15196,1592,2
1002,11205.360999999986,14360,1556,4
1082,37327.36699999992,77954,8328,27
