question,PC3,respostas,ocorrencias_pc3,pct_cometeram,pct_nao_cometeram,taxa_acerto
1018,G4,37,10,27.027027027027028,72.97297297297297,0.8717948717948718
1018,B8,37,0,0.0,100.0,0.8717948717948718
1018,B4,37,0,0.0,100.0,0.8717948717948718
1018,B9,37,0,0.0,100.0,0.8717948717948718
1019,G4,35,9,25.71428571428571,74.28571428571429,0.868421052631579
1019,B8,35,0,0.0,100.0,0.868421052631579
1019,B4,35,0,0.0,100.0,0.868421052631579
1019,B9,35,0,0.0,100.0,0.868421052631579
1002,G4,42,8,19.047619047619047,80.95238095238095,0.868421052631579
1002,B8,42,0,0.0,100.0,0.868421052631579
1002,B4,42,0,0.0,100.0,0.868421052631579
1002,B9,42,0,0.0,100.0,0.868421052631579
1021,G4,32,9,28.125,71.875,0.875
1021,B8,32,0,0.0,100.0,0.875
1021,B4,32,0,0.0,100.0,0.875
1021,B9,32,0,0.0,100.0,0.875
1022,G4,33,5,15.151515151515152,84.84848484848484,0.7941176470588235
1022,B8,33,0,0.0,100.0,0.7941176470588235
1022,B4,33,0,0.0,100.0,0.7941176470588235
1022,B9,33,0,0.0,100.0,0.7941176470588235
1020,G4,40,14,35.0,65.0,0.875
1020,B8,40,0,0.0,100.0,0.875
1020,B4,40,0,0.0,100.0,0.875
1020,B9,40,0,0.0,100.0,0.875
1023,G4,35,15,42.857142857142854,57.14285714285714,0.9142857142857144
1023,B8,35,0,0.0,100.0,0.9142857142857144
1023,B4,35,0,0.0,100.0,0.9142857142857144
1023,B9,35,0,0.0,100.0,0.9142857142857144
1024,G4,43,4,9.30232558139535,90.69767441860465,0.8292682926829268
1024,B8,43,0,0.0,100.0,0.8292682926829268
1024,B4,43,0,0.0,100.0,0.8292682926829268
1024,B9,43,0,0.0,100.0,0.8292682926829268
1025,G4,37,8,21.62162162162162,78.37837837837837,0.8571428571428571
1025,B8,37,0,0.0,100.0,0.8571428571428571
1025,B4,37,0,0.0,100.0,0.8571428571428571
1025,B9,37,0,0.0,100.0,0.8571428571428571
1026,G4,39,10,25.64102564102564,74.35897435897436,0.8285714285714286
1026,B8,39,0,0.0,100.0,0.8285714285714286
1026,B4,39,0,0.0,100.0,0.8285714285714286
1026,B9,39,0,0.0,100.0,0.8285714285714286
1028,G4,106,38,35.84905660377358,64.15094339622641,0.7870370370370371
1028,B8,106,0,0.0,100.0,0.7870370370370371
1028,B4,106,0,0.0,100.0,0.7870370370370371
1028,B9,106,0,0.0,100.0,0.7870370370370371
1027,G4,115,37,32.17391304347826,67.82608695652173,0.8403361344537815
1027,B8,115,0,0.0,100.0,0.8403361344537815
1027,B4,115,0,0.0,100.0,0.8403361344537815
1027,B9,115,0,0.0,100.0,0.8403361344537815
1029,G4,121,42,34.710743801652896,65.28925619834712,0.7559055118110236
1029,B8,121,0,0.0,100.0,0.7559055118110236
1029,B4,121,0,0.0,100.0,0.7559055118110236
1029,B9,121,0,0.0,100.0,0.7559055118110236
1030,G4,118,44,37.28813559322034,62.71186440677966,0.8660714285714286
1030,B8,118,0,0.0,100.0,0.8660714285714286
1030,B4,118,0,0.0,100.0,0.8660714285714286
1030,B9,118,0,0.0,100.0,0.8660714285714286
1031,G4,102,37,36.27450980392157,63.725490196078425,0.7864077669902912
1031,B8,102,0,0.0,100.0,0.7864077669902912
1031,B4,102,0,0.0,100.0,0.7864077669902912
1031,B9,102,0,0.0,100.0,0.7864077669902912
