questao_id,total_usuarios_responderam,usuarios_analisados,usuarios_com_misconceptions,percentual_com_misconceptions,count_A4,perc_A4,count_A5,perc_A5,count_B4,perc_B4,count_B6,perc_B6,count_B8,perc_B8,count_B9,perc_B9,count_B12,perc_B12,count_C1,perc_C1,count_C2,perc_C2,count_C3,perc_C3,count_C4,perc_C4,count_C8,perc_C8,count_D4,perc_D4,count_E2,perc_E2,count_G4,perc_G4,count_G5,perc_G5,count_H1,perc_H1,modulo,prova,assessment_title
1642,21,21,21,100.0,4,19.05,21,100.0,17,80.95,0,0.0,21,100.0,18,85.71,0,0.0,2,9.52,0,0.0,0,0.0,0,0.0,2,9.52,4,19.05,0,0.0,21,100.0,4,19.05,1,4.76,introducao a ciencia dos computadores,exam,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for)
1644,18,18,18,100.0,1,5.56,18,100.0,10,55.56,0,0.0,18,100.0,12,66.67,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,2,11.11,3,16.67,0,0.0,18,100.0,2,11.11,0,0.0,introducao a ciencia dos computadores,exam,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for)
1645,19,19,19,100.0,2,10.53,19,100.0,9,47.37,0,0.0,19,100.0,14,73.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.53,1,5.26,0,0.0,19,100.0,1,5.26,0,0.0,introducao a ciencia dos computadores,exam,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for)
1646,22,22,22,100.0,2,9.09,22,100.0,11,50.0,0,0.0,22,100.0,15,68.18,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,1,4.55,0,0.0,0,0.0,22,100.0,3,13.64,1,4.55,introducao a ciencia dos computadores,exam,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for)
1647,17,17,17,100.0,4,23.53,17,100.0,9,52.94,0,0.0,17,100.0,9,52.94,0,0.0,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,3,17.65,0,0.0,17,100.0,2,11.76,0,0.0,introducao a ciencia dos computadores,exam,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for)
2845,23,23,23,100.0,4,17.39,23,100.0,14,60.87,0,0.0,23,100.0,15,65.22,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,2,8.7,0,0.0,23,100.0,2,8.7,0,0.0,introducao a ciencia dos computadores,exam,Prova Final
2847,17,17,17,100.0,3,17.65,17,100.0,11,64.71,0,0.0,17,100.0,13,76.47,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,1,5.88,4,23.53,0,0.0,17,100.0,4,23.53,2,11.76,introducao a ciencia dos computadores,exam,Prova Final
2968,19,19,18,94.74,2,10.53,18,94.74,10,52.63,0,0.0,18,94.74,14,73.68,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,2,10.53,1,5.26,0,0.0,18,94.74,0,0.0,0,0.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
3586,22,22,22,100.0,1,4.55,22,100.0,12,54.55,0,0.0,22,100.0,13,59.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,2,9.09,0,0.0,22,100.0,3,13.64,0,0.0,introducao a ciencia dos computadores,exam,TP 05: Vetores e Strings
3587,21,21,21,100.0,2,9.52,21,100.0,6,28.57,0,0.0,21,100.0,16,76.19,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,7,33.33,0,0.0,21,100.0,6,28.57,0,0.0,introducao a ciencia dos computadores,exam,TP 05: Vetores e Strings
3588,18,18,18,100.0,3,16.67,18,100.0,11,61.11,0,0.0,18,100.0,14,77.78,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,0,0.0,18,100.0,1,5.56,0,0.0,introducao a ciencia dos computadores,exam,TP 05: Vetores e Strings
3589,31,31,31,100.0,6,19.35,31,100.0,18,58.06,0,0.0,31,100.0,19,61.29,0,0.0,2,6.45,0,0.0,0,0.0,0,0.0,4,12.9,4,12.9,0,0.0,31,100.0,4,12.9,3,9.68,introducao a ciencia dos computadores,exam,TP 05: Vetores e Strings
3590,20,20,20,100.0,2,10.0,20,100.0,18,90.0,0,0.0,20,100.0,17,85.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0,2,10.0,0,0.0,20,100.0,3,15.0,0,0.0,introducao a ciencia dos computadores,exam,TP 05: Vetores e Strings
