usuario,question,tempo_implementacao,num_eventos,num_eventos_del,num_consultas,num_submissoes,num_tests,num_correct,num_errors,num_logic_errors,num_syntax_errors,qtd_alteracoes_codigo,misconceptions_detectados,total_misconceptions,categorias_afetadas,dificuldade
1096,1019,348.84900000000005,326.0,5.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,G4",3,2,100
1102,1019,721.2899999999993,405.0,21.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,G4",3,2,100
1157,1019,355.9920000000001,316.0,16.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,G4",4,3,100
1179,1019,437.3740000000001,572.0,52.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,G4,1,1,100
1193,1019,384.4539999999998,53.0,1.0,,2.0,0.0,1.0,1.0,1.0,0.0,3.0,"A3,A5,G4",3,2,100
1194,1019,1717.155000000002,707.0,57.0,,14.0,0.0,0.0,14.0,0.0,14.0,745.0,"A3,A5,B11,G4",4,3,0
1203,1019,1685.9309999999978,951.0,162.0,,26.0,0.0,1.0,25.0,2.0,23.0,1579.0,G4,1,1,100
1224,1019,838.5209999999973,729.0,63.0,,11.0,0.0,1.0,10.0,7.0,3.0,293.0,"A5,B8,G4",3,3,100
1232,1019,294.47600000000017,319.0,21.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1241,1019,1787.5189999999948,1007.0,77.0,,5.0,0.0,1.0,4.0,0.0,4.0,225.0,"A3,A5,G4",3,2,100
1250,1019,285.9540000000002,459.0,68.0,,2.0,0.0,1.0,1.0,1.0,0.0,16.0,"A3,A5,B4,B8,G4",5,3,100
1259,1019,432.4399999999998,534.0,25.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1278,1019,372.2719999999997,642.0,62.0,,8.0,0.0,1.0,7.0,3.0,4.0,182.0,"A5,G4",2,2,100
1303,1019,1429.2649999999962,1256.0,164.0,,3.0,0.0,1.0,2.0,2.0,0.0,28.0,"A3,A5,B8,G4",4,3,100
1448,1019,1935.886,872.0,135.0,,2.0,0.0,0.0,2.0,1.0,1.0,214.0,"A3,A5,G4",3,2,0
1461,1019,224.5730000000001,449.0,29.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A2,A5,B8,G4",4,3,100
1519,1019,1796.5829999999953,1981.0,337.0,,20.0,0.0,0.0,20.0,6.0,14.0,1711.0,"A3,A5,B8,G4",4,3,0
1604,1019,,,,,,,,,,,,A5,1,1,0
1645,1019,775.620999999999,510.0,75.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1659,1019,653.0719999999994,713.0,71.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B4,B8,E1,G4",5,4,100
1661,1019,380.7440000000001,628.0,91.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A2,A3,A5,B8,E1,G4",6,4,100
1662,1019,432.6619999999999,708.0,60.0,,2.0,0.0,1.0,1.0,1.0,0.0,185.0,A3,1,1,100
1708,1019,,,,,,,,,,,,,0,0,0
3061,1019,638.489,802.0,95.0,,5.0,7.0,1.0,4.0,3.0,1.0,378.0,"A3,B9,G4",3,3,100
3065,1019,1044.312,772.0,138.0,,7.0,20.0,1.0,6.0,6.0,0.0,622.0,"A3,A5,B8,E1,G4",5,4,100
3070,1019,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A2,A3,A5,B8,E1,G4",6,4,100
3072,1019,1641.1969999999965,1233.0,170.0,,5.0,18.0,1.0,4.0,0.0,4.0,1141.0,"A2,A3,A5,G4",4,2,100
3073,1019,3598.8389999999963,1335.0,202.0,,28.0,66.0,1.0,27.0,14.0,13.0,934.0,"A5,G4",2,2,100
3093,1019,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A2,A3,A5,B8,G4",5,3,100
3117,1019,492.0679999999997,574.0,36.0,,2.0,5.0,1.0,1.0,1.0,0.0,46.0,"A5,E1,G4",3,3,100
3307,1019,,,,,1.0,12.0,1.0,0.0,0.0,0.0,796.0,"A3,A5,B4,B8,G4",5,3,100
3310,1019,,,,,1.0,4.0,1.0,0.0,0.0,0.0,35.0,"A3,A5,B8,E1,G4",5,4,100
3311,1019,,,,,1.0,2.0,1.0,0.0,0.0,0.0,82.0,"A5,B8,B9,G4",4,3,100
3400,1019,644.7980000000001,586.0,69.0,,5.0,20.0,1.0,4.0,4.0,0.0,523.0,G4,1,1,100
3456,1019,1408.123999999997,1158.0,191.0,,3.0,16.0,1.0,2.0,2.0,0.0,572.0,"A3,G4",2,2,100
1091,1018,1397.112999999996,1818.0,194.0,,38.0,0.0,1.0,37.0,31.0,6.0,696.0,"A5,B4,G4",3,3,100
1114,1018,388.6439999999994,482.0,27.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,B9,G4",4,3,100
1117,1018,217.9,412.0,57.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1151,1018,1522.9839999999997,923.0,121.0,,7.0,0.0,0.0,7.0,5.0,2.0,138.0,"A3,A5,B4,G4",4,3,0
1172,1018,531.635,522.0,68.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,G4",2,2,100
1173,1018,,,,,,,,,,,,"A3,G4",2,2,0
1187,1018,592.2580000000002,677.0,50.0,,5.0,0.0,1.0,4.0,0.0,4.0,326.0,"A3,A5,B8,G4",4,3,100
1190,1018,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,G4",2,2,100
1215,1018,587.704999999999,512.0,28.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1246,1018,1666.491000000001,893.0,66.0,,18.0,0.0,1.0,17.0,16.0,1.0,215.0,"A3,A5,G4",3,2,100
1289,1018,355.06700000000006,411.0,59.0,,7.0,0.0,1.0,6.0,6.0,0.0,37.0,"A5,G4",2,2,100
1307,1018,292.369,411.0,22.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,G4",2,2,100
1315,1018,1221.0709999999976,987.0,163.0,,3.0,0.0,0.0,3.0,0.0,3.0,217.0,"A3,A5,B8,G4",4,3,0
1403,1018,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,A3,1,1,100
1449,1018,590.9660000000002,392.0,14.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5",2,1,100
1460,1018,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,B9,G4",4,3,100
1554,1018,308.4889999999999,283.0,18.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B4,G4",4,3,100
1555,1018,,,,,,,,,,,,"A3,A5,B8,G4",4,3,0
1651,1018,779.3819999999992,701.0,71.0,,4.0,0.0,1.0,3.0,3.0,0.0,43.0,"A3,A5,B4,B8,G4",5,3,100
1677,1018,,,,,,,,,,,,"A3,A5,G4",3,2,0
1688,1018,2.76,6.0,0.0,,,,0.0,,,,,A5,1,1,0
1704,1018,423.5959999999997,479.0,17.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,B9,G4",4,3,100
1710,1018,355.724,86.0,0.0,,3.0,0.0,0.0,3.0,0.0,3.0,0.0,"A3,G4",2,2,0
2132,1018,,,,,1.0,6.0,1.0,0.0,0.0,0.0,168.0,"A3,A5,G4",3,2,100
3030,1018,532.5169999999987,960.0,114.0,,2.0,13.0,1.0,1.0,0.0,1.0,238.0,"A5,B4,B8,G4",4,3,100
3047,1018,3799.470999999997,2362.0,440.0,,4.0,89.0,0.0,4.0,2.0,2.0,1300.0,"A3,A5,G4",3,2,0
3057,1018,,,,,1.0,4.0,1.0,0.0,0.0,0.0,17.0,"A3,A5,B8,E1,G4",5,4,100
3076,1018,1481.7099999999962,1683.0,240.0,,16.0,34.0,1.0,15.0,0.0,15.0,1644.0,"A5,G4",2,2,100
3100,1018,,,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
3112,1018,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,G4",4,3,100
3115,1018,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,E1,G4",4,4,100
3119,1018,,,,,1.0,2.0,1.0,0.0,0.0,0.0,33.0,"A3,A5,B8,C8,G4",5,4,100
3125,1018,2585.0379999999946,2498.0,228.0,,1.0,34.0,0.0,1.0,1.0,0.0,2565.0,"A3,A5,B8,G4",4,3,0
3136,1018,,,,,1.0,10.0,1.0,0.0,0.0,0.0,396.0,"A3,A5,B8,G4",4,3,100
3260,1018,,,,,1.0,3.0,1.0,0.0,0.0,0.0,9.0,"A3,A5,B8,G4",4,3,100
3322,1018,,,,,1.0,5.0,1.0,0.0,0.0,0.0,43.0,"A3,A5,B8,G4",4,3,100
3330,1018,1800.2299999999962,1130.0,212.0,,3.0,24.0,1.0,2.0,2.0,0.0,1055.0,"A3,A5,G4",3,2,100
1113,1002,579.8950000000001,280.0,16.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,B9,G4",4,3,100
1152,1002,1089.618999999999,761.0,65.0,,19.0,1.0,0.0,19.0,0.0,19.0,256.0,"A5,B8,E1,G4",4,4,0
1160,1002,614.3820000000004,527.0,83.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,G4",3,2,100
1168,1002,530.7549999999998,1002.0,164.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,G4",3,2,100
1169,1002,561.4229999999999,367.0,42.0,,2.0,0.0,1.0,1.0,1.0,0.0,15.0,"A3,A5,B9,G4",4,3,100
1182,1002,574.7119999999991,538.0,47.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1188,1002,1239.0009999999988,316.0,30.0,,17.0,0.0,0.0,17.0,16.0,1.0,39.0,"A3,A5",2,1,0
1199,1002,2472.293,1484.0,229.0,,23.0,0.0,0.0,23.0,0.0,23.0,1533.0,"A3,A5,B8,G4",4,3,0
1237,1002,,,,,,,,,,,,"A3,A5,G4",3,2,0
1238,1002,680.1989999999996,699.0,42.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,G4",4,3,100
1244,1002,886.5009999999999,584.0,62.0,,2.0,0.0,1.0,1.0,0.0,1.0,24.0,"A5,G4",2,2,100
1273,1002,538.4989999999997,558.0,29.0,,7.0,0.0,1.0,6.0,6.0,0.0,228.0,"A5,B8,G4",3,3,100
1285,1002,224.661,354.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B9,G4",3,3,100
1287,1002,427.1049999999998,504.0,44.0,,3.0,0.0,1.0,2.0,2.0,0.0,129.0,"A3,A5,G4",3,2,100
1297,1002,,,,,,,,,,,,"A3,A5,B8,G4",4,3,0
1309,1002,588.7399999999993,478.0,39.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,B9,C8,G4",5,4,100
1433,1002,551.4319999999991,500.0,32.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,G4",3,2,100
1451,1002,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,G4",4,3,100
1520,1002,898.6849999999996,548.0,89.0,,5.0,0.0,0.0,5.0,0.0,5.0,265.0,"A3,A5,B8,G4",4,3,0
1561,1002,,,,,,,,,,,,"A3,A5,B8,G4",4,3,0
1563,1002,1010.5879999999931,968.0,62.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,G4",3,3,100
1567,1002,2049.447999999997,1052.0,117.0,,24.0,0.0,1.0,23.0,0.0,23.0,695.0,G4,1,1,100
1592,1002,973.37,409.0,42.0,,9.0,0.0,1.0,8.0,7.0,1.0,128.0,"A3,A5,G4",3,2,100
1639,1002,413.6509999999995,484.0,27.0,,8.0,0.0,1.0,7.0,0.0,7.0,454.0,"A5,B8,G4",3,3,100
1655,1002,811.8979999999992,785.0,135.0,,3.0,0.0,0.0,3.0,0.0,3.0,149.0,"A3,A5,B8,G4",4,3,0
2409,1002,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,E1,G4",5,4,100
3098,1002,,,,,1.0,10.0,1.0,0.0,0.0,0.0,162.0,"A3,A5,B8,G4",4,3,100
3102,1002,,,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,"A5,B8,E1,G4",4,4,100
3107,1002,,,,,1.0,3.0,1.0,0.0,0.0,0.0,92.0,"A5,G4",2,2,100
3135,1002,,,,,,,,,,,,"A2,A3,A5,B4,G4",5,3,0
3263,1002,1532.1829999999993,724.0,84.0,,2.0,16.0,1.0,1.0,0.0,1.0,258.0,"A2,A3,A5,B8,G4",5,3,100
3305,1002,,,,,1.0,14.0,1.0,0.0,0.0,0.0,401.0,"A3,A5,B4,B8,G4",5,3,100
3306,1002,,,,,1.0,4.0,1.0,0.0,0.0,0.0,109.0,"A3,A5,B4,B8,G4",5,3,100
3315,1002,,,,,1.0,2.0,1.0,0.0,0.0,0.0,22.0,"A5,B8,B9,G4",4,3,100
3323,1002,,,,,1.0,5.0,1.0,0.0,0.0,0.0,61.0,"A3,A5,B8,G4",4,3,100
3324,1002,,,,,1.0,11.0,1.0,0.0,0.0,0.0,172.0,"A2,A5,B8,C8,G4",5,4,100
3325,1002,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,C8,G4",5,4,100
3417,1002,,,,,1.0,13.0,1.0,0.0,0.0,0.0,270.0,"A3,A5,B8,G4",4,3,100
3451,1002,,,,,1.0,6.0,1.0,0.0,0.0,0.0,54.0,"A2,A3,A5,B9,G4",5,3,100
3486,1002,878.6249999999997,438.0,41.0,,4.0,14.0,1.0,3.0,2.0,1.0,199.0,"A3,A5,B4,B8,B9,E1,G4",7,4,100
3489,1002,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,E1,G4",5,4,100
3543,1002,,,,,1.0,26.0,1.0,0.0,0.0,0.0,628.0,"A5,G4",2,2,100
1103,1021,896.6069999999994,615.0,103.0,,5.0,0.0,1.0,4.0,0.0,4.0,173.0,"A5,B8,G4",3,3,100
1111,1021,910.7069999999997,490.0,42.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A5,B11,B8,G4",4,3,100
1140,1021,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"A3,A5,B8,G4",4,3,100
