question,usuario,misconceptions_detectados,total_misconceptions,categorias_afetadas
1002,1113,,0,0
1002,1160,,0,0
1002,1168,,0,0
1002,1182,,0,0
1002,1188,A3,1,1
1002,1238,,0,0
1002,1244,,0,0
1002,1273,,0,0
1002,1285,G4,1,1
1002,1287,G4,1,1
1002,1309,,0,0
1002,1433,,0,0
1002,1451,,0,0
1002,1563,,0,0
1002,1567,,0,0
1002,1592,,0,0
1002,1639,,0,0
1002,3098,,0,0
1002,3102,,0,0
1002,3107,,0,0
1002,3263,,0,0
1002,3305,,0,0
1002,3306,,0,0
1002,3315,,0,0
1002,3323,,0,0
1002,3324,,0,0
1002,3325,,0,0
1002,3417,G4,1,1
1002,3451,G4,1,1
1002,3486,G4,1,1
1002,3489,,0,0
1002,3543,G4,1,1
1018,1091,A3,1,1
1018,1114,"A5,G4",2,2
1018,1117,,0,0
1018,1151,"A3,G4",2,2
1018,1172,,0,0
1018,1187,,0,0
1018,1190,,0,0
1018,1215,,0,0
1018,1246,,0,0
1018,1289,G4,1,1
1018,1292,G4,1,1
1018,1306,G4,1,1
1018,1307,,0,0
1018,1393,,0,0
1018,1403,,0,0
1018,1449,,0,0
1018,1460,,0,0
1018,1554,,0,0
1018,1642,,0,0
1018,1651,,0,0
1018,1704,G4,1,1
1018,3030,,0,0
1018,3047,"A3,G4",2,2
1018,3057,,0,0
1018,3076,,0,0
1018,3100,,0,0
1018,3112,G4,1,1
1018,3115,G4,1,1
1018,3119,,0,0
1018,3125,,0,0
1018,3136,,0,0
1018,3260,G4,1,1
1018,3322,G4,1,1
1018,3330,,0,0
1019,1096,,0,0
1019,1102,,0,0
1019,1157,,0,0
1019,1179,,0,0
1019,1193,,0,0
1019,1203,,0,0
1019,1224,,0,0
1019,1232,,0,0
1019,1241,,0,0
1019,1250,,0,0
1019,1259,,0,0
1019,1278,G4,1,1
1019,1303,G4,1,1
1019,1305,,0,0
1019,1448,G4,1,1
1019,1461,,0,0
1019,1610,,0,0
1019,1645,,0,0
1019,1659,,0,0
1019,1661,,0,0
1019,1662,,0,0
1019,3061,"A3,G4",2,2
1019,3065,G4,1,1
1019,3070,,0,0
1019,3072,G4,1,1
1019,3073,,0,0
1019,3093,,0,0
1019,3117,,0,0
1019,3307,,0,0
1019,3310,G4,1,1
1019,3311,,0,0
1019,3321,,0,0
1019,3400,G4,1,1
1019,3456,G4,1,1
1020,1105,G4,1,1
1020,1219,,0,0
1020,1221,,0,0
1020,1231,,0,0
1020,1234,,0,0
1020,1253,,0,0
1020,1264,,0,0
1020,1281,,0,0
1020,1291,,0,0
1020,1296,,0,0
1020,1298,,0,0
1020,1299,,0,0
1020,1300,,0,0
1020,1603,G4,1,1
1020,1612,,0,0
1020,1643,,0,0
1020,1699,,0,0
1020,3048,G4,1,1
1020,3054,,0,0
1020,3066,,0,0
1020,3069,,0,0
1020,3088,G4,1,1
1020,3104,G4,1,1
1020,3105,,0,0
1020,3106,,0,0
1020,3113,G4,1,1
1020,3124,G4,1,1
1020,3128,,0,0
1020,3132,G4,1,1
1020,3140,G4,1,1
1020,3144,G4,1,1
1020,3317,,0,0
1020,3327,,0,0
1020,3509,A3,1,1
1020,3511,G4,1,1
1020,3522,G4,1,1
1021,1103,,0,0
1021,1111,,0,0
1021,1140,,0,0
1021,1155,,0,0
1021,1191,A3,1,1
1021,1200,,0,0
1021,1214,,0,0
1021,1217,G4,1,1
1021,1267,,0,0
1021,1293,,0,0
1021,1295,,0,0
1021,1310,,0,0
1021,1313,A3,1,1
1021,1431,G4,1,1
1021,1557,,0,0
1021,1566,,0,0
1021,1646,A3,1,1
1021,1654,,0,0
1021,1658,,0,0
1021,3084,G4,1,1
1021,3085,G4,1,1
1021,3089,G4,1,1
1021,3131,,0,0
1021,3418,G4,1,1
1021,3434,G4,1,1
1021,3476,,0,0
1021,3512,,0,0
1022,1110,,0,0
1022,1118,,0,0
1022,1150,,0,0
1022,1174,,0,0
1022,1218,,0,0
1022,1284,,0,0
1022,1286,,0,0
1022,1304,G4,1,1
1022,1432,,0,0
1022,1464,,0,0
1022,1549,"A3,A4",2,1
1022,1636,,0,0
1022,1650,,0,0
1022,1652,,0,0
1022,1657,,0,0
1022,3071,,0,0
1022,3092,G4,1,1
1022,3137,G4,1,1
1022,3138,,0,0
1022,3259,,0,0
1022,3264,G4,1,1
1022,3304,,0,0
1022,3309,,0,0
1022,3331,G4,1,1
1022,3419,,0,0
1023,1109,,0,0
1023,1112,,0,0
1023,1116,,0,0
1023,1176,,0,0
1023,1181,,0,0
1023,1192,G4,1,1
1023,1196,G4,1,1
1023,1201,,0,0
1023,1243,,0,0
1023,1251,,0,0
1023,1283,G4,1,1
1023,1302,G4,1,1
1023,1434,G4,1,1
1023,1463,,0,0
1023,1558,,0,0
1023,1692,,0,0
1023,3044,G4,1,1
1023,3052,G4,1,1
1023,3081,G4,1,1
1023,3083,G4,1,1
1023,3086,,0,0
1023,3091,G4,1,1
1023,3097,,0,0
1023,3103,G4,1,1
1023,3139,,0,0
1023,3255,,0,0
1023,3320,G4,1,1
1023,3328,,0,0
