question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1002,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1018,31,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1019,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1020,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1021,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1022,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1023,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1024,35,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1025,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1026,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1027,83,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
1028,81,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1029,82,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1030,68,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
1031,62,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
1032,72,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1033,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1034,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1035,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1036,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1037,33,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1038,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
