pc,term,OR,ci_lo,ci_hi,p,beta,se,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif,p_fdr
G4,(intercept),2.00064344425629,1.8061116960933337,2.216127717739353,2.7404288318156003e-40,0.6934688509466238,0.05219007685537323,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,
G4,testes,1.3359328141118743,1.2293131031754196,1.4517997727436551,8.784951871013443e-12,0.28962978501151054,0.042435828736165825,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,2.8111845987243016e-10
G4,alteracoes,0.8963749535485969,0.8312340225293745,0.9666207536889592,0.00448398737335486,-0.10939647860079466,0.03849358653739718,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,0.06149468397743808
G4,erros_logica,0.9829857970557071,0.9323319229524929,1.036391711391051,0.5249401048976788,-0.01716060750933473,0.02699274473633762,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,0.8261352470520846
G4,erros_sintaxe,0.9933760137857626,0.9468448787636651,1.0421938449446886,0.7859861749251813,-0.006646022175428639,0.024476520317169362,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,0.9315391702816963
G4,tempo,1.1605752514913699,1.0630073268358897,1.2670984294938925,0.0008880185555055717,0.14891578865537974,0.04480295750885558,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,0.01704995626570698
G4,delecoes,0.6898959863778908,0.6354341305311774,0.7490256647411393,8.921854928630574e-19,-0.3712144371337763,0.04195530939989302,0.9237515585238577,1.0451236987780994,0.17566013205836936,0.19874019724314315,13797,8754,0.634485757773429,2514,617,3.263054469491074,8.564980731485351e-17
B8,(intercept),0.7689632062269564,0.6226522214953429,0.9496543850928238,0.014698506161726866,-0.2627121568799962,0.10768111792543016,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,
B8,testes,0.9302254341466532,0.8312516480346226,1.0409836303834765,0.2076033666852969,-0.0723283199012989,0.05739509414015171,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.5386465730213108
B8,alteracoes,1.1181553928268526,1.0090100524058843,1.2391070629342344,0.0330754301849472,0.11168035686948104,0.05240339428899161,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.27113319194287044
B8,erros_logica,0.9470463717282515,0.8811772616792068,1.0178392807078145,0.13907302576739894,-0.054407220016811905,0.036780228665277345,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.513500402833473
B8,erros_sintaxe,1.0332174148274293,0.969111429742231,1.101563962140685,0.31734939870554413,0.0326776373311719,0.03268026349994191,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.6479286160455402
B8,tempo,1.084630124579859,0.9681331725766734,1.2151453337923417,0.16110789272738024,0.08123902986841003,0.057971763296243345,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.5155452567276168
B8,delecoes,1.1065516389940564,0.9914011642881668,1.235076751841018,0.07092455731856649,0.10124854819006053,0.0560635546931178,0.2550000250929881,4.360974028739358,0.032254631327607586,0.5516141007239745,9756,4216,0.4321443214432144,2265,430,3.2223543861257977,0.3388625487995854
A3,(intercept),0.06582018800567933,0.05984225017556181,0.07239529156061353,0.0,-2.720828679110048,0.04857891005694696,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,
A3,testes,0.900791536834631,0.7998235053592466,1.0145055595339607,0.08496681407175191,-0.10448141680666413,0.06065447813687992,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,0.3546440935168776
A3,alteracoes,1.0437478204447939,0.9187680470851084,1.1857285591717388,0.5105274793888318,0.042817908984143255,0.06507117068690027,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,0.8168439670221308
A3,erros_logica,1.020508241357624,0.946422964796017,1.1003928575457722,0.5975359399833172,0.020300779038802612,0.038452285830862805,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,0.856170899080574
A3,erros_sintaxe,0.8583470145246571,0.7992780561942329,0.9217813395897256,2.6814861182235577e-05,-0.15274681542741106,0.03637733320351038,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,0.0006435566683736538
A3,tempo,1.7448258100810996,1.5229892866812567,1.9989747361645922,1.0271100713550818e-15,0.556654728368718,0.06937739226166302,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,4.930128342504393e-14
A3,delecoes,1.146113888575338,1.0097903492239733,1.300841354440325,0.03478997261390815,0.13637699256535282,0.0646093154513424,0.26800232014776426,0.40694147939071174,0.067595216282831,0.10263828051452727,13797,1016,0.07363919692686816,2514,617,3.263054469491074,0.27113319194287044
B9,(intercept),0.09489299317017182,0.06675613038424978,0.13488918696999264,2.3947211416084024e-39,-2.3550054099153743,0.17944068114335882,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,
B9,testes,1.063337533681875,0.7792393248191533,1.4510134108016985,0.698589876219387,0.06141257829188375,0.1585967540929116,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.9062787583386641
B9,alteracoes,1.015917329696739,0.7682055336796473,1.3435050589059516,0.91181809897591,0.015791977436980065,0.14259690668219968,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.9726059722409708
B9,erros_logica,0.9063107750264573,0.7370997430402559,1.1143664459047273,0.3508244277889878,-0.09837301296365468,0.10543828899610616,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.6565313593514379
B9,erros_sintaxe,0.9738089247940944,0.8126414147825969,1.1669400608413818,0.7737178643938795,-0.026540170360670284,0.09230875540772528,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.9284614372726553
B9,tempo,0.9302202056182937,0.6877345247757891,1.2582029835169948,0.6387670240833858,-0.07233394062812666,0.1540910408353316,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.8760233473143577
B9,delecoes,0.9155447859778572,0.6821593998187729,1.2287776952922267,0.556714639166321,-0.08823599637228516,0.15013057551079545,0.2655359413786875,1.9906709488075556,0.047878173345154484,0.3589332888998546,2159,217,0.10050949513663733,1383,88,3.220634437719892,0.8471538452499308
