pc,escopo,N,positivos,prevalencia
G4,geral,20834,12514,0.6006527791110684
B8,geral,20834,6124,0.2939425938369972
B8,elegivel,14288,6124,0.4286114221724524
A3,geral,20834,1266,0.06076605548622444
B4,geral,20834,330,0.01583949313621964
B4,elegivel,2912,330,0.11332417582417582
B9,geral,20834,322,0.015455505423826437
B9,elegivel,3110,322,0.10353697749196142
A2,geral,20834,248,0.011903619084189306
H1,geral,20834,174,0.008351732744552174
E1,geral,20834,135,0.006479792646635308
B11,geral,20834,58,0.002783910914850725
C8,geral,20834,57,0.0027359124508015745
A4,geral,20834,41,0.0019679370260151673
A5,geral,20834,31,0.0014879523855236632
C1,geral,20834,8,0.0003839877123932034
C3,geral,20834,4,0.0001919938561966017
B10,geral,20834,2,9.599692809830086e-05
D4,geral,20834,2,9.599692809830086e-05
G5,geral,20834,2,9.599692809830086e-05
B12,geral,20834,1,4.799846404915043e-05
B6,geral,20834,1,4.799846404915043e-05
C2,geral,20834,0,0.0
C4,geral,20834,0,0.0
E2,geral,20834,0,0.0
