pc,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif
G4,0.889631494755927,0.9483257790164932,0.17349098771189536,0.18493722068524812,14183,8826,0.6222942959881549,2550,631,3.279058106024379
B8,0.24470756484026285,3.963212404381324,0.032637300692056885,0.5285842104338604,9945,4253,0.42765208647561587,2301,434,3.2399381799763036
A3,0.2365103754306377,0.399308252353575,0.06024687903051955,0.10171678909067275,14183,994,0.07008390326447154,2550,631,3.279058106024379
B4,0.2941431751466233,1.8925972827033521,0.053709000785752005,0.34557833576507974,2228,227,0.10188509874326751,1464,84,3.5680864194031248
B9,0.27326393193762444,2.018901367832081,0.04895419119120924,0.3616784800549727,2219,219,0.09869310500225327,1414,88,3.2502900581784404
A2,0.2823992146623397,2.984493893998956,0.04306992495593627,0.4551780648529091,14183,146,0.010294013960375097,2550,631,3.279058106024379
H1,0.46229931119047574,0.34436041722374966,0.1128514993066061,0.0840615342589963,14183,125,0.008813368116759502,2550,631,3.279058106024379
E1,0.2736734390339024,3.9353841287267493,0.0364950194106771,0.5247930550854866,14183,113,0.007967284777550588,2550,631,3.279058106024379
C8,0.4558916975422658,0.6684183402977846,0.10327895246321182,0.15142531957769143,14183,54,0.0038073750264401044,2550,631,3.279058106024379
B11,0.3410771365374558,2.629938762956407,0.054477472307318156,0.4200586928322784,14183,32,0.002256222237890432,2550,631,3.279058106024379
A4,0.35317232454382563,0.14724267367572086,0.0931783490182951,0.03884740758173631,14183,27,0.0019036875132200522,2550,631,3.279058106024379
A5,0.5538218151195344,0.12326990244548579,0.13960862622378745,0.0310741492395711,14183,22,0.001551152788549672,2550,631,3.279058106024379
C1,0.3368922830468451,0.11236416609021943,0.09009923996475863,0.0300509286601704,14183,7,0.000493548614538532,2550,631,3.279058106024379
C3,0.3365486994961283,0.11200147533986095,0.09002435568218803,0.029959588814401132,14183,4,0.000282027779736304,2550,631,3.279058106024379
B10,0.3357788723879024,0.1116942256630164,0.0898443175419952,0.029886012204134334,14183,1,7.0506944934076e-05,2550,631,3.279058106024379
B12,0.33585646507998906,0.11171856174758234,0.08986262818051763,0.02989170856899891,14183,1,7.0506944934076e-05,2550,631,3.279058106024379
