usuario,question,tempo_implementacao,num_eventos,num_eventos_del,num_submissoes,num_tests,num_correct,num_errors,num_logic_errors,num_syntax_errors,qtd_alteracoes_codigo,taxa_acerto,taxa_aceitacao,num_consultas,misconceptions_detectados,total_misconceptions,categorias_afetadas,dificuldade,MD1_taxa_acerto,MD2_num_submissoes,MD3_taxa_aceitacao,MD4_num_testes,MD5_num_consultas,MD6_erros_logica,MD7_erros_sintaxe,MD8_total_erros,MD9_eventos_delecao,MD10_total_eventos,MD11_tempo_implementacao,MD12_alteracoes_codigo,MD13_discriminacao_questao,MD13_contribuicao_individual
1113,1002,579.8950000000001,280.0,16.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,16.0,280.0,579.8950000000001,0,,
1160,1002,614.3820000000004,527.0,83.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,83.0,527.0,614.3820000000004,0,,
1168,1002,530.7549999999998,1002.0,164.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,164.0,1002.0,530.7549999999998,0,,
1182,1002,574.7119999999991,538.0,47.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,47.0,538.0,574.7119999999991,0,,
1188,1002,1239.0009999999988,316.0,30.0,17,0,0.0,17,16,1,39,0.0,0.0,17,A3,1,1,0,0.0,17,0.0,0,17,16,1,17,30.0,316.0,1239.0009999999988,39,,
1238,1002,680.1989999999996,699.0,42.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,42.0,699.0,680.1989999999996,0,,
1244,1002,886.5009999999999,584.0,62.0,2,0,1.0,1,0,1,24,0.0,0.5,2,,0,0,0,0.0,2,0.5,0,2,0,1,1,62.0,584.0,886.5009999999999,24,,
1273,1002,538.4989999999997,558.0,29.0,7,0,1.0,6,6,0,228,0.0,0.14285714285714285,7,,0,0,0,0.0,7,0.14285714285714285,0,7,6,0,6,29.0,558.0,538.4989999999997,228,,
1285,1002,224.661,354.0,35.0,1,0,1.0,0,0,0,0,0.0,1.0,1,G4,1,1,0,0.0,1,1.0,0,1,0,0,0,35.0,354.0,224.661,0,,
1287,1002,427.1049999999998,504.0,44.0,3,0,1.0,2,2,0,129,0.0,0.3333333333333333,3,G4,1,1,0,0.0,3,0.3333333333333333,0,3,2,0,2,44.0,504.0,427.1049999999998,129,,
1309,1002,588.7399999999993,478.0,39.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,39.0,478.0,588.7399999999993,0,,
1433,1002,551.4319999999991,500.0,32.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,32.0,500.0,551.4319999999991,0,,
1451,1002,,,,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,,,,0,,
1563,1002,1010.5879999999931,968.0,62.0,1,0,1.0,0,0,0,0,0.0,1.0,1,,0,0,0,0.0,1,1.0,0,1,0,0,0,62.0,968.0,1010.5879999999931,0,,
1567,1002,2049.447999999997,1052.0,117.0,24,0,1.0,23,0,23,695,0.0,0.041666666666666664,24,,0,0,0,0.0,24,0.041666666666666664,0,24,0,23,23,117.0,1052.0,2049.447999999997,695,,
1592,1002,973.37,409.0,42.0,9,0,1.0,8,7,1,128,0.0,0.1111111111111111,9,,0,0,0,0.0,9,0.1111111111111111,0,9,7,1,8,42.0,409.0,973.37,128,,
1639,1002,413.6509999999995,484.0,27.0,8,0,1.0,7,0,7,454,0.0,0.125,8,,0,0,0,0.0,8,0.125,0,8,0,7,7,27.0,484.0,413.6509999999995,454,,
3107,1002,,,,1,3,1.0,0,0,0,92,0.0,1.0,4,,0,0,0,0.0,1,1.0,3,4,0,0,0,,,,92,,
3263,1002,1532.1829999999993,724.0,84.0,2,16,1.0,1,0,1,258,0.0,0.5,18,,0,0,0,0.0,2,0.5,16,18,0,1,1,84.0,724.0,1532.1829999999993,258,,
3305,1002,,,,1,14,1.0,0,0,0,401,0.0,1.0,15,,0,0,0,0.0,1,1.0,14,15,0,0,0,,,,401,,
3306,1002,,,,1,4,1.0,0,0,0,109,0.0,1.0,5,,0,0,0,0.0,1,1.0,4,5,0,0,0,,,,109,,
